Conc (µg/ml	Fitness	Strain	Drug
0	0.965052774173637	wt	TMP
0.01	0.960311086215056	wt	TMP
0.02	0.954981330140247	wt	TMP
0.03	0.948997716261809	wt	TMP
0.04	0.942289083588832	wt	TMP
0.05	0.934779016263414	wt	TMP
0.06	0.926386149334581	wt	TMP
0.07	0.917024714097629	wt	TMP
0.08	0.90660537888418	wt	TMP
0.09	0.895036445123753	wt	TMP
0.1	0.882225459454215	wt	TMP
0.11	0.868081299020767	wt	TMP
0.12	0.852516776911974	wt	TMP
0.13	0.835451795721234	wt	TMP
0.14	0.816817047226845	wt	TMP
0.15	0.796558213205183	wt	TMP
0.16	0.774640565375532	wt	TMP
0.17	0.751053792064389	wt	TMP
0.18	0.725816798695889	wt	TMP
0.19	0.698982145691771	wt	TMP
0.2	0.670639712285147	wt	TMP
0.21	0.640919124065364	wt	TMP
0.22	0.60999047482946	wt	TMP
0.23	0.578062928410389	wt	TMP
0.24	0.545380917009535	wt	TMP
0.25	0.512217860567455	wt	TMP
0.26	0.478867600335954	wt	TMP
0.27	0.445634032412926	wt	TMP
0.28	0.412819691047483	wt	TMP
0.29	0.380714210238277	wt	TMP
0.3	0.349583640873537	wt	TMP
0.31	0.319661502107267	wt	TMP
0.32	0.291142217293582	wt	TMP
0.33	0.264177274444366	wt	TMP
0.34	0.238874122360689	wt	TMP
0.35	0.215297526748758	wt	TMP
0.36	0.193472907732122	wt	TMP
0.37	0.173391077726339	wt	TMP
0.38	0.155013789682532	wt	TMP
0.39	0.138279567689909	wt	TMP
0.4	0.123109396306395	wt	TMP
0	0.956758274567297	wt	SMX
1	0.951481494765006	wt	SMX
2	0.943617969009113	wt	SMX
3	0.93194823970942	wt	SMX
4	0.91474790370827	wt	SMX
5	0.889660334171529	wt	SMX
6	0.853627864364315	wt	SMX
7	0.80300626095412	wt	SMX
8	0.734119722769577	wt	SMX
9	0.644727526874113	wt	SMX
10	0.536817370005054	wt	SMX
11	0.419478071645276	wt	SMX
12	0.30748054722633	wt	SMX
13	0.213794809066001	wt	SMX
14	0.143404249258979	wt	SMX
15	0.094216558622437	wt	SMX
16	0.0612785467730399	wt	SMX
17	0.0397106845976637	wt	SMX
18	0.0257335836838219	wt	SMX
19	0.0167080948885338	wt	SMX
20	0.0108793571757024	wt	SMX
21	0.00710729971178297	wt	SMX
22	0.00465877681312512	wt	SMX
23	0.00306388568396797	wt	SMX
24	0.00202132792220759	wt	SMX
25	0.00133745317321583	wt	SMX
26	0.000887376882994845	wt	SMX
27	0.000590253298866798	wt	SMX
28	0.000393540188433705	wt	SMX
29	0.00026295880075237	wt	SMX
30	0.000176063880255946	wt	SMX
31	0.000118108403594754	wt	SMX
32	7.93726178649874e-05	wt	SMX
33	5.34315675077306e-05	wt	SMX
34	3.60268270757869e-05	wt	SMX
35	2.43289516386255e-05	wt	SMX
0	1.01215487508794	dCBASS	TMP
0.01	0.996809659632537	dCBASS	TMP
0.02	0.981229259870811	dCBASS	TMP
0.03	0.965423640040917	dCBASS	TMP
0.04	0.94940356772329	dCBASS	TMP
0.05	0.933180603862875	dCBASS	TMP
0.06	0.916767087728738	dCBASS	TMP
0.07	0.900176116626575	dCBASS	TMP
0.08	0.883421520222251	dCBASS	TMP
0.09	0.866517829382681	dCBASS	TMP
0.1	0.8494802394942	dCBASS	TMP
0.11	0.832324568277405	dCBASS	TMP
0.12	0.815067208180942	dCBASS	TMP
0.13	0.797725073504127	dCBASS	TMP
0.14	0.780315542468629	dCBASS	TMP
0.15	0.762856394531884	dCBASS	TMP
0.16	0.74536574330791	dCBASS	TMP
0.17	0.727861965533646	dCBASS	TMP
0.18	0.71036362658908	dCBASS	TMP
0.19	0.692889403145777	dCBASS	TMP
0.2	0.675458003579141	dCBASS	TMP
0.21	0.658088086833236	dCBASS	TMP
0.22	0.640798180471499	dCBASS	TMP
0.23	0.623606598680714	dCBASS	TMP
0.24	0.6065313610178	dCBASS	TMP
0.25	0.58959011269812	dCBASS	TMP
0.26	0.572800047219455	dCBASS	TMP
0.27	0.556177832096921	dCBASS	TMP
0.28	0.539739538451	dCBASS	TMP
0.29	0.52350057514382	dCBASS	TMP
0.3	0.507475628098668	dCBASS	TMP
0.31	0.491678605365736	dCBASS	TMP
0.32	0.476122588414744	dCBASS	TMP
0.33	0.460819790044454	dCBASS	TMP
0.34	0.445781519202215	dCBASS	TMP
0.35	0.431018152906	dCBASS	TMP
0.36	0.416539115359342	dCBASS	TMP
0.37	0.40235286424858	dCBASS	TMP
0.38	0.388466884114198	dCBASS	TMP
0.39	0.374887686596006	dCBASS	TMP
0.4	0.361620817267352	dCBASS	TMP
0.41	0.348670868698047	dCBASS	TMP
0.42	0.336041499320513	dCBASS	TMP
0.43	0.323735457619748	dCBASS	TMP
0.44	0.311754611125426	dCBASS	TMP
0.45	0.300099979654115	dCBASS	TMP
0.46	0.288771772230813	dCBASS	TMP
0.47	0.277769427111416	dCBASS	TMP
0.48	0.267091654330505	dCBASS	TMP
0.49	0.256736480210923	dCBASS	TMP
0.5	0.246701293292036	dCBASS	TMP
0.51	0.236982891160954	dCBASS	TMP
0.52	0.227577527704111	dCBASS	TMP
0.53	0.218480960334213	dCBASS	TMP
0.54	0.209688496788324	dCBASS	TMP
0.55	0.201195041135724	dCBASS	TMP
0.56	0.192995138677946	dCBASS	TMP
0.57	0.185083019467194	dCBASS	TMP
0.58	0.177452640212306	dCBASS	TMP
0.59	0.170097724382866	dCBASS	TMP
0.6	0.163011800361371	dCBASS	TMP
0.61	0.156188237530197	dCBASS	TMP
0.62	0.149620280213985	dCBASS	TMP
0.63	0.143301079428991	dCBASS	TMP
0.64	0.137223722418606	dCBASS	TMP
0.65	0.131381259978728	dCBASS	TMP
0.66	0.125766731598014	dCBASS	TMP
0.67	0.120373188456278	dCBASS	TMP
0.68	0.115193714339655	dCBASS	TMP
0.69	0.110221444543752	dCBASS	TMP
0.7	0.105449582846104	dCBASS	TMP
0.71	0.100871416637002	dCBASS	TMP
0.72	0.0964803303034699	dCBASS	TMP
0.73	0.0922698169649989	dCBASS	TMP
0.74	0.0882334886618341	dCBASS	TMP
0.75	0.0843650850974326	dCBASS	TMP
