MIC_id	Plate_id	Row	Antibiotic	StartConc	TimeCutoff_h	Replicate	ConcGradient	date	Keep	Strain	Species	Figure
mic_1	dCBASS_1_2	C	SMX	150	10	1	linear	25.05.22	keep	dCBASS	V. cholera	2b
mic_2	dCBASS_1_2	G	SMX	150	10	2	linear	25.05.22	keep	dCBASS	V. cholera	2b
mic_3	dCBASS_3_4	C	SMX	150	10	3	linear	25.05.22	keep	dCBASS	V. cholera	2b
mic_4	dCBASS_3_4	G	SMX	150	10	4	linear	25.05.22	keep	dCBASS	V. cholera	2b
mic_5	dCBASS_1_2	D	TMP	1	10	1	linear	25.05.22	keep	dCBASS	V. cholera	2b
mic_6	dCBASS_1_2	H	TMP	1	10	2	linear	25.05.22	keep	dCBASS	V. cholera	2b
mic_7	dCBASS_3_4	D	TMP	1	10	3	linear	25.05.22	keep	dCBASS	V. cholera	2b
mic_8	dCBASS_3_4	H	TMP	1	10	4	linear	25.05.22	keep	dCBASS	V. cholera	2b
mic_9	wt_1_2	C	SMX	150	10	1	linear	25.05.22	keep	wt	V. cholera	2b
mic_10	wt_1_2	G	SMX	150	10	2	linear	25.05.22	keep	wt	V. cholera	2b
mic_11	wt_3_4	C	SMX	150	10	3	linear	25.05.22	keep	wt	V. cholera	2b
mic_12	wt_3_4	G	SMX	150	10	4	linear	25.05.22	keep	wt	V. cholera	2b
mic_13	wt_1_2	D	TMP	1	10	1	linear	25.05.22	keep	wt	V. cholera	2b
mic_14	wt_1_2	H	TMP	1	10	2	linear	25.05.22	keep	wt	V. cholera	2b
mic_15	wt_3_4	D	TMP	1	10	3	linear	25.05.22	keep	wt	V. cholera	2b
mic_16	wt_3_4	H	TMP	1	10	4	linear	25.05.22	keep	wt	V. cholera	2b
mic_17	SB230329_SMX_Inocu_Del_cleaned_Quad1	E	SMX	250	20	1	linear	29.03.23	keep	N_dCBASS	V. cholera	2c
mic_18	SB230329_SMX_Inocu_Del_cleaned_Quad1	F	SMX	250	20	2	linear	29.03.23	keep	N_dCBASS	V. cholera	2c
