Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.016	0.024	0.027	0.016	0.038	0.00700000000000001	0.01	0.00599999999999998	0.002	0.013	0.00800000000000001	0.005	0.019	0.047	0.026	0.023	0.028	0.028	0.012	0.004	0.012	0.002	0.01	0.00900000000000001	0.029	0.047	0.03	0.025	0.043	0.026	0.023	0.018	0.00999999999999998	0.005	0.005	0.01	0.019	0.036	0.032	0.035	0.022	0.023	0.032	0.018	0.00799999999999998	0.00799999999999998	0.00600000000000001	0.00700000000000001	0.021	0.04	0.027	0.024	0.016	0.021	0.022	0.015	0.00899999999999998	0.004	0.005	0.004	0.005	0.032	0.011	0.005	0.012	0.02	0.022	0.014	0.00800000000000001	0.00600000000000001	0.004	0.005	0.011	0.018	0.016	0.014	0.024	0.024	0.022	0.019	0.013	0.01	0.00700000000000001	0.01	0.023	0.014	0.018	0.013	0.015	0.017	0.00999999999999998	0.00700000000000001	0.004	0.00600000000000001	0.00700000000000001	0.00599999999999998
0.527222222222222	0.017	0.042	0.027	0.015	0.012	0	0.004	0.00199999999999997	0	0.012	0.00700000000000001	0.004	0.035	0.068	0.04	0.029	0.024	0.017	0	0.001	0.01	0.003	0.00900000000000001	0.00900000000000001	0.052	0.083	0.082	0.062	0.029	0.017	0.00600000000000001	0.00700000000000001	0.00599999999999998	0.005	0.00599999999999998	0.015	0.035	0.069	0.102	0.083	0.027	0.019	0.00800000000000001	0.004	0.00799999999999998	0.00899999999999998	0.013	0.02	0.034	0.069	0.081	0.048	0.022	0.017	0.00600000000000001	0.00600000000000001	0.00699999999999998	0.005	0.00900000000000001	0.012	0.017	0.049	0.03	0.018	0.019	0.017	0.01	0.004	0.004	0.00600000000000001	0.00600000000000001	0.011	0.018	0.027	0.026	0.024	0.024	0.019	0.01	0.00600000000000001	0.00900000000000001	0.013	0.01	0.016	0.026	0.00699999999999998	0.00699999999999998	0.00700000000000001	0.01	0.013	0.011	0.013	0.00900000000000001	0.011	0.013	0.015
1.05444444444444	0.01	0.004	0.003	0.001	0.002	0.001	0.001	0.001	0	0.00700000000000001	0.002	0.002	0.002	0.011	0.005	0.002	0.001	0.001	0.002	0.002	0.00800000000000001	0	0.002	0.005	0.003	0.018	0.00600000000000001	0.00700000000000001	0	0.003	0.004	0.005	0.001	0	0.001	0.00800000000000001	0.00800000000000001	0.00900000000000001	0.018	0.00499999999999998	0.001	0.001	0.004	0	0.002	0.002	0.004	0.003	0.005	0.016	0.00799999999999998	0.005	0.002	0.003	0.003	0.002	0.001	0	0.002	0.003	0.004	0.014	0.00800000000000001	0.002	0.001	0.001	0.002	0.002	0	0	0	0.003	0.002	0.003	0	0.002	0.002	0.00600000000000001	0.005	0.001	0.001	0.003	0	0	0.013	0.000999999999999973	0.001	0.005	0.00900000000000001	0.00600000000000001	0.001	0.002	0	0	0	0
1.58166666666667	0.00800000000000001	0.002	0.002	0.002	0.002	0.001	0.001	0	0	0.005	0.001	0	0.004	0.001	0.002	0.002	0.002	0.001	0.001	0.003	0.01	0.001	0.001	0	0.004	0.00199999999999997	0.002	0.003	0.001	0.001	0.001	0.005	0.002	0.001	0.002	0.003	0.003	0.001	0.001	0.000999999999999973	0	0	0	0	0.003	0.003	0.00800000000000001	0.01	0.005	0.001	0.001	0	0	0	0	0	0.001	0.002	0.003	0.001	0.003	0.003	0.001	0	0	0	0	0	0	0.002	0.001	0	0.002	0	0	0	0	0	0	0	0.002	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0.001	0.001
2.10916666666667	0	0	0	0	0	0	0.002	0.00399999999999998	0.001	0.003	0	0.001	0	0	0	0	0	0	0	0.001	0.003	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.001	0.002	0.003	0.003	0.001	0	0	0	0.001	0	0	0.001	0.001	0.003	0.001	0.001	0	0	0	0	0.002	0	0	0	0	0	0.001	0.001	0.001	0.002	0.003	0.011	0.005	0.003	0.001	0.004	0.001	0.001	0	0	0	0	0	0.005	0.01	0	0.00399999999999998	0.005	0.003	0.003	0.003	0.003	0.004	0.00600000000000001	0.00800000000000001	0.00999999999999998
2.63638888888889	0.00900000000000001	0.004	0.003	0.003	0.002	0.001	0.002	0.00499999999999998	0.002	0.005	0.003	0.001	0.004	0.004	0.005	0.003	0.003	0.003	0.004	0.003	0.004	0.003	0.005	0.00800000000000001	0.004	0.00599999999999998	0.003	0.004	0.003	0.004	0.004	0.00800000000000001	0.003	0.00700000000000001	0.00599999999999998	0.01	0.004	0.004	0.005	0.00399999999999998	0.004	0.00600000000000001	0.00600000000000001	0.004	0.002	0.004	0.00900000000000001	0.018	0.004	0.004	0.004	0.005	0.005	0.00800000000000001	0.00700000000000001	0.00600000000000001	0.002	0.00600000000000001	0.004	0.019	0.00700000000000001	0.00600000000000001	0.005	0.003	0.005	0.005	0.00700000000000001	0.00600000000000001	0.005	0.00800000000000001	0.00700000000000001	0.033	0.003	0.003	0.004	0.003	0.003	0.00600000000000001	0.005	0.005	0.013	0.013	0.01	0.039	0.019	0.00699999999999998	0.011	0.01	0.00800000000000001	0.012	0.014	0.018	0.022	0.029	0.035	0.041
3.16361111111111	0.00700000000000001	0.004	0.004	0.002	0.002	0.002	0.004	0.00599999999999998	0.002	0.005	0.003	0	0.004	0.003	0.004	0.002	0.003	0.003	0.004	0.004	0.003	0.003	0.003	0.012	0.004	0.00399999999999998	0.002	0.003	0.003	0.003	0.004	0.005	0.003	0.00700000000000001	0.005	0.021	0.003	0.002	0.004	0.00299999999999997	0.003	0.005	0.003	0.001	0.004	0.00600000000000001	0.012	0.041	0.005	0.003	0.004	0.00600000000000001	0.004	0.00700000000000001	0.005	0.003	0.001	0.005	0.004	0.041	0.00600000000000001	0.00700000000000001	0.005	0.005	0.005	0.004	0.005	0.004	0.004	0.00600000000000001	0.00600000000000001	0.066	0.00900000000000001	0.00800000000000001	0.00800000000000001	0.004	0.005	0.00600000000000001	0.00800000000000001	0.00700000000000001	0.011	0.014	0.016	0.086	0.025	0.00899999999999998	0.011	0.013	0.02	0.024	0.03	0.044	0.055	0.076	0.087	0.088
3.69083333333333	0.00700000000000001	0.002	0.004	0.002	0.003	0.001	0.003	0.00599999999999998	0.005	0.005	0.004	0.005	0.004	0.004	0.004	0.002	0.003	0.004	0.005	0.005	0.005	0.005	0.004	0.026	0.003	0.00399999999999998	0.002	0.005	0.005	0.005	0.00600000000000001	0.00600000000000001	0.00499999999999998	0.00900000000000001	0.00599999999999998	0.041	0	0.001	0.004	0.00399999999999998	0.005	0.005	0.00600000000000001	0.005	0.00599999999999998	0.00700000000000001	0.00900000000000001	0.067	0	0	0.002	0.005	0.005	0.00600000000000001	0.005	0.003	0.001	0.00600000000000001	0.003	0.092	0	0.002	0.003	0.003	0.003	0.004	0.005	0.004	0.004	0.00600000000000001	0.00600000000000001	0.14	0	0.001	0.002	0.003	0.004	0.004	0.005	0.004	0.005	0.00700000000000001	0.022	0.141	0.02	0.014	0.02	0.024	0.033	0.042	0.061	0.091	0.114	0.143	0.158	0.167
4.21805555555556	0.00600000000000001	0.001	0.005	0.004	0.005	0.005	0.004	0.00699999999999998	0.00600000000000001	0.005	0.003	0.005	0.004	0.004	0.005	0.004	0.005	0.005	0.004	0.004	0.005	0.00600000000000001	0.002	0.047	0.002	0.00299999999999997	0.001	0.00600000000000001	0.00600000000000001	0.00600000000000001	0.00600000000000001	0.005	0.004	0.00700000000000001	0.003	0.078	0	0.001	0.003	0.00399999999999998	0.005	0.00700000000000001	0.00600000000000001	0.002	0.003	0.005	0.00800000000000001	0.135	0	0.001	0.002	0.00600000000000001	0.004	0.00800000000000001	0.00800000000000001	0.004	0.002	0.00600000000000001	0.004	0.154	0	0.002	0.003	0.003	0.003	0.004	0.00700000000000001	0.005	0.005	0.00700000000000001	0.011	0.189	0.002	0.003	0.004	0	0.003	0.005	0.00600000000000001	0.005	0.00800000000000001	0.012	0.044	0.218	0.019	0.021	0.03	0.038	0.058	0.079	0.124	0.147	0.183	0.207	0.235	0.226
4.74555555555555	0.00800000000000001	0.004	0.00800000000000001	0.00699999999999998	0.00799999999999998	0.00700000000000001	0.005	0.00899999999999998	0.00700000000000001	0.00700000000000001	0.00600000000000001	0.014	0.004	0.00600000000000001	0.00700000000000001	0.00600000000000001	0.00800000000000001	0.00800000000000001	0.00800000000000001	0.00700000000000001	0.00900000000000001	0.00800000000000001	0.00600000000000001	0.094	0.00600000000000001	0.00499999999999998	0.003	0.00800000000000001	0.00800000000000001	0.00800000000000001	0.00900000000000001	0.00900000000000001	0.00699999999999998	0.011	0.00599999999999998	0.155	0.002	0.003	0.004	0.00599999999999998	0.00700000000000001	0.00800000000000001	0.00900000000000001	0.00800000000000001	0.00599999999999998	0.00700000000000001	0.00900000000000001	0.194	0.002	0.002	0.002	0.00600000000000001	0.00700000000000001	0.01	0.00800000000000001	0.005	0.004	0.00800000000000001	0.00900000000000001	0.234	0.003	0.005	0.005	0.005	0.00700000000000001	0.00700000000000001	0.00800000000000001	0.00600000000000001	0.00600000000000001	0.01	0.017	0.271	0.004	0.005	0.005	0.004	0.00700000000000001	0.00800000000000001	0.00600000000000001	0.00800000000000001	0.01	0.017	0.089	0.289	0.025	0.038	0.056	0.073	0.114	0.147	0.193	0.218	0.263	0.27	0.312	0.311
