Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.113	0.115	0.112	0.114	0.112	0.113	0.124	0.115	0.112	0.114	0.111	0.119	0.11	0.111	0.118	0.115	0.114	0.109	0.109	0.113	0.117	0.11	0.111	0.112	0.108	0.107	0.106	0.111	0.106	0.107	0.107	0.108	0.106	0.11	0.111	0.109	0.109	0.109	0.107	0.112	0.106	0.108	0.11	0.109	0.108	0.109	0.111	0.111	0.106	0.108	0.107	0.111	0.11	0.113	0.115	0.114	0.118	0.108	0.106	0.106	0.108	0.107	0.106	0.11	0.106	0.11	0.107	0.111	0.108	0.112	0.108	0.108	0.106	0.107	0.106	0.109	0.107	0.113	0.109	0.108	0.106	0.111	0.109	0.109	0.108	0.107	0.112	0.11	0.106	0.109	0.108	0.115	0.109	0.11	0.108	0.108
0.45	0.107	0.11	0.106	0.109	0.108	0.11	0.117	0.11	0.108	0.109	0.106	0.113	0.106	0.106	0.111	0.108	0.108	0.107	0.106	0.109	0.114	0.108	0.108	0.109	0.106	0.106	0.105	0.109	0.104	0.106	0.106	0.106	0.105	0.109	0.109	0.107	0.107	0.107	0.105	0.11	0.105	0.109	0.108	0.107	0.107	0.107	0.109	0.109	0.105	0.107	0.106	0.109	0.109	0.112	0.112	0.114	0.109	0.106	0.105	0.105	0.106	0.105	0.105	0.108	0.105	0.108	0.106	0.11	0.107	0.11	0.107	0.107	0.106	0.106	0.105	0.107	0.105	0.111	0.107	0.107	0.105	0.109	0.107	0.107	0.107	0.106	0.109	0.108	0.105	0.107	0.106	0.113	0.107	0.109	0.106	0.107
0.95	0.107	0.109	0.105	0.109	0.108	0.11	0.116	0.109	0.109	0.109	0.107	0.112	0.107	0.106	0.111	0.107	0.107	0.107	0.106	0.109	0.114	0.107	0.108	0.109	0.106	0.106	0.105	0.109	0.104	0.105	0.105	0.106	0.105	0.108	0.109	0.107	0.107	0.107	0.105	0.11	0.104	0.107	0.108	0.107	0.106	0.107	0.109	0.109	0.105	0.107	0.105	0.108	0.107	0.111	0.112	0.113	0.108	0.106	0.105	0.105	0.106	0.105	0.105	0.108	0.105	0.108	0.106	0.11	0.107	0.11	0.107	0.107	0.106	0.106	0.105	0.107	0.105	0.11	0.107	0.107	0.105	0.109	0.107	0.107	0.107	0.106	0.109	0.108	0.105	0.107	0.106	0.113	0.107	0.109	0.106	0.107
1.45	0.107	0.109	0.106	0.109	0.108	0.11	0.117	0.11	0.108	0.109	0.107	0.112	0.106	0.106	0.111	0.108	0.107	0.107	0.106	0.109	0.114	0.108	0.109	0.11	0.107	0.106	0.105	0.109	0.104	0.106	0.106	0.106	0.105	0.109	0.109	0.108	0.107	0.107	0.105	0.11	0.105	0.107	0.108	0.107	0.107	0.108	0.109	0.109	0.105	0.107	0.106	0.108	0.107	0.111	0.112	0.114	0.109	0.106	0.105	0.105	0.106	0.107	0.105	0.108	0.105	0.109	0.106	0.11	0.107	0.11	0.107	0.107	0.106	0.107	0.106	0.107	0.105	0.111	0.107	0.107	0.106	0.109	0.107	0.107	0.108	0.106	0.11	0.109	0.105	0.107	0.106	0.113	0.108	0.109	0.107	0.107
1.95	0.108	0.111	0.107	0.11	0.109	0.111	0.118	0.111	0.109	0.111	0.108	0.113	0.108	0.107	0.113	0.108	0.108	0.107	0.107	0.11	0.115	0.108	0.11	0.111	0.108	0.107	0.106	0.11	0.105	0.107	0.107	0.107	0.106	0.11	0.111	0.109	0.108	0.108	0.106	0.111	0.106	0.108	0.109	0.108	0.107	0.109	0.11	0.11	0.106	0.108	0.106	0.109	0.108	0.112	0.112	0.115	0.109	0.107	0.107	0.107	0.107	0.107	0.106	0.11	0.107	0.11	0.107	0.112	0.108	0.111	0.11	0.108	0.108	0.109	0.107	0.109	0.106	0.111	0.108	0.108	0.107	0.109	0.109	0.109	0.11	0.107	0.112	0.111	0.106	0.109	0.107	0.115	0.109	0.11	0.108	0.109
2.45	0.11	0.113	0.11	0.113	0.112	0.114	0.121	0.114	0.113	0.114	0.112	0.116	0.111	0.109	0.115	0.11	0.111	0.109	0.11	0.113	0.118	0.111	0.113	0.113	0.11	0.109	0.108	0.113	0.108	0.11	0.11	0.11	0.109	0.113	0.114	0.112	0.11	0.11	0.108	0.113	0.109	0.111	0.112	0.111	0.11	0.112	0.114	0.113	0.107	0.111	0.108	0.111	0.111	0.112	0.113	0.118	0.113	0.11	0.11	0.111	0.109	0.11	0.108	0.113	0.109	0.113	0.109	0.116	0.117	0.115	0.113	0.11	0.11	0.113	0.11	0.112	0.108	0.114	0.11	0.112	0.11	0.111	0.113	0.112	0.114	0.11	0.115	0.114	0.109	0.112	0.111	0.118	0.113	0.115	0.111	0.113
2.95	0.113	0.119	0.115	0.119	0.119	0.122	0.127	0.122	0.122	0.12	0.12	0.123	0.116	0.113	0.119	0.115	0.116	0.112	0.116	0.119	0.124	0.116	0.119	0.12	0.115	0.113	0.113	0.119	0.114	0.118	0.115	0.118	0.117	0.121	0.122	0.119	0.115	0.115	0.114	0.119	0.115	0.118	0.118	0.117	0.115	0.119	0.121	0.121	0.11	0.116	0.112	0.115	0.117	0.115	0.114	0.124	0.119	0.118	0.119	0.12	0.114	0.115	0.114	0.119	0.116	0.12	0.115	0.125	0.122	0.121	0.121	0.116	0.117	0.121	0.117	0.12	0.114	0.119	0.116	0.118	0.117	0.113	0.122	0.121	0.121	0.117	0.122	0.12	0.115	0.121	0.118	0.126	0.121	0.123	0.118	0.123
3.7	0.138	0.148	0.142	0.154	0.155	0.159	0.155	0.174	0.176	0.169	0.183	0.183	0.141	0.136	0.139	0.143	0.151	0.14	0.155	0.159	0.161	0.163	0.173	0.177	0.14	0.136	0.141	0.152	0.151	0.166	0.154	0.173	0.175	0.173	0.178	0.185	0.139	0.139	0.149	0.149	0.152	0.166	0.156	0.162	0.163	0.169	0.172	0.186	0.133	0.144	0.142	0.143	0.153	0.138	0.122	0.157	0.162	0.173	0.178	0.187	0.142	0.149	0.147	0.154	0.158	0.166	0.154	0.164	0.17	0.17	0.182	0.171	0.15	0.168	0.153	0.169	0.158	0.157	0.166	0.164	0.171	0.128	0.187	0.193	0.165	0.153	0.161	0.161	0.155	0.165	0.166	0.173	0.18	0.179	0.185	0.194
4.2	0.148	0.159	0.154	0.169	0.173	0.182	0.18	0.21	0.214	0.206	0.234	0.24	0.155	0.146	0.148	0.156	0.168	0.16	0.178	0.186	0.193	0.204	0.222	0.232	0.147	0.146	0.155	0.17	0.17	0.191	0.179	0.206	0.213	0.217	0.232	0.237	0.147	0.151	0.164	0.165	0.171	0.192	0.181	0.191	0.199	0.212	0.221	0.249	0.142	0.156	0.156	0.158	0.17	0.15	0.131	0.184	0.196	0.212	0.228	0.246	0.15	0.165	0.162	0.174	0.177	0.19	0.181	0.193	0.205	0.213	0.235	0.226	0.165	0.191	0.17	0.193	0.178	0.177	0.193	0.198	0.209	0.146	0.243	0.262	0.183	0.172	0.182	0.183	0.175	0.192	0.195	0.207	0.221	0.229	0.247	0.261
4.7	0.159	0.168	0.164	0.185	0.195	0.206	0.21	0.251	0.262	0.237	0.278	0.305	0.165	0.155	0.158	0.173	0.19	0.186	0.208	0.222	0.233	0.239	0.271	0.309	0.153	0.154	0.172	0.191	0.194	0.219	0.209	0.245	0.259	0.266	0.282	0.315	0.152	0.163	0.18	0.184	0.195	0.224	0.209	0.23	0.243	0.257	0.267	0.319	0.158	0.168	0.174	0.177	0.192	0.163	0.142	0.221	0.241	0.251	0.275	0.326	0.157	0.179	0.182	0.198	0.203	0.22	0.215	0.233	0.252	0.258	0.289	0.305	0.17	0.215	0.193	0.221	0.203	0.202	0.228	0.242	0.255	0.168	0.295	0.345	0.2	0.19	0.206	0.208	0.198	0.225	0.232	0.249	0.266	0.272	0.304	0.341
